Actual Train,Predicted Train
0.7,2.71560671
0.6,1.234823758
0.7,1.003520541
2,2.090154465
0.7,1.271068558
0.3,0.81156267
0.6,1.271068558
0.9,1.234823758
3,6.101383167
0.7,1.271068558
2.3,1.003520541
224.3,100.9148287
3.2,15.04082245
0.5,0.81156267
0.9,3.883245336
0.8,2.71560671
0.9,1.271068558
2.7,10.93063312
2.9,1.271068558
1.1,1.271068558
3,11.73933215
2.2,2.312735883
1.3,2.090154465
1.8,1.65819235
8.3,6.386214069
14.4,9.640415518
31.4,16.0780164
1.6,1.634597635
0.3,1.591822291
0.7,2.71560671
1,15.43596832
0.8,1.234823758
0.4,1.591822291
1.3,2.410519487
0.4,1.591822291
1.3,2.09635944
1.8,1.218883665
5.6,9.054403979
0.5,1.218883665
0.4,0.81156267
1.3,1.271068558
0.4,1.218883665
1,1.700699174
0.7,1.218883665
0.6,2.090154465
6.3,11.73933215
4,13.90565226
0.4,1.218883665
0.6,1.271068558
4.9,6.623604087
0.8,2.71560671
1,1.700699174
0.8,2.71560671
2.7,12.30478169
0.3,0.81156267
0.6,1.271068558
1.7,2.09635944
0.9,1.234823758
46.1,52.49704622
1,1.290858642
14.6,4.008852033
1.2,2.090154465
0.3,1.591822291
1.4,33.72671183
1,1.290858642
0.8,1.218883665
0.7,2.71560671
0.5,0.81156267
2.3,11.73933215
5.8,0.81156267
1.7,2.09635944
0.7,1.234823758
0.7,1.234823758
0.6,1.271068558
102.8,33.9204511
0.5,0.81156267
0.7,1.700699174
0.5,1.591822291
2.4,2.604424465
2.5,1.789009854
1.4,1.634597635
7.5,6.623604087
0.6,1.271068558
0.2,0.265386455
0.4,0.81156267
0.4,0.81156267
0.3,0.81156267
4,1.290858642
0.9,3.866543715
0.9,1.234823758
0.4,1.290858642
1.5,1.634597635
1.1,1.700699174
1.4,6.623604087
28.4,14.84405294
2.1,3.883245336
13.5,3.214118698
0.9,2.71560671
0.2,0.265386455
0.6,1.003520541
0.2,0.265386455
0.8,1.003520541
0.8,1.234823758
0.9,1.789009854
1.8,2.778346349
10.6,2.964429995
0.8,1.003520541
1.7,33.50631701
1.7,2.09635944
0.1,0.265386455
0.8,1.234823758
0.5,1.218883665
0.4,1.003520541
2,48.09607319
2,9.460237557
4.4,6.842386593
19.6,2.090154465
780.9,96.3819332
1.2,2.604424465
0.3,0.81156267
0.3,1.591822291
0.7,1.003520541
5.4,28.87319423
6.6,13.90565226
1,1.700699174
11.3,20.55969861
0.8,1.234823758
0.8,1.65819235
0.2,0.265386455
11.5,2.778346349
0.4,1.218883665
0.5,1.271068558
3.5,9.054403979
1.4,2.964429995
1.7,2.778346349
0.3,0.265386455
1.2,1.65819235
0.4,0.81156267
1,1.65819235
0.2,0.265386455
1,1.700699174
0.5,1.218883665
0.6,1.218883665
0.6,1.234823758
2.9,2.312735883
10.4,2.964429995
0.7,2.71560671
0.7,1.271068558
0.8,1.234823758
1,1.003520541
0.9,1.700699174
0.6,1.271068558
0.3,1.271068558
15.6,14.50005969
33.3,49.73872583
0.6,1.234823758
2.6,13.35108698
0.8,2.71560671
91.4,1.218883665
0.7,1.271068558
0.8,2.71560671
1.3,2.964429995
1.2,1.65819235
1.3,2.090154465
0.8,2.71560671
1.3,1.65819235
0.8,1.003520541
