Actual Data,Predicted Data
0.7,2.672446197
0.6,1.262371518
0.7,0.973625005
2,2.04277813
0.7,1.351763094
0.3,0.743571341
0.6,1.351763094
0.9,1.262371518
3,5.551926466
0.7,1.351763094
2.3,0.973625005
224.3,167.31
3.2,14.80782696
0.5,0.743571341
0.9,3.852496552
0.8,2.672446197
0.9,1.351763094
2.7,4.571333333
2.9,1.351763094
1.1,1.351763094
3,10.83587252
2.2,2.137471581
1.3,2.04277813
1.8,1.614024209
8.3,5.148363431
14.4,13.286
31.4,26.236
1.6,1.523962811
0.3,1.647461685
0.7,2.672446197
1,13.5057466
0.8,1.262371518
0.4,1.647461685
1.3,2.189936563
0.4,1.647461685
1.3,2.112130468
1.8,1.166594776
5.6,7.507118543
0.5,1.166594776
0.4,0.743571341
1.3,1.351763094
0.4,1.166594776
1,1.631124657
0.7,1.166594776
0.6,2.04277813
6.3,10.83587252
4,11.97411667
0.4,1.166594776
0.6,1.351763094
4.9,7.895177778
0.8,2.672446197
1,1.631124657
0.8,2.672446197
2.7,10.55316554
0.3,0.743571341
0.6,1.351763094
1.7,2.112130468
0.9,1.262371518
46.1,36.362
1,1.258071358
14.6,7.289022132
1.2,2.04277813
0.3,1.647461685
1.4,8.050738095
1,1.258071358
0.8,1.166594776
0.7,2.672446197
0.5,0.743571341
2.3,10.83587252
5.8,0.743571341
1.7,2.112130468
0.7,1.262371518
0.7,1.262371518
0.6,1.351763094
102.8,77.1928
0.5,0.743571341
0.7,1.631124657
0.5,1.647461685
2.4,2.540055975
2.5,1.814486759
1.4,1.523962811
7.5,4.822903968
0.6,1.351763094
0.2,0.240782722
0.4,0.743571341
0.4,0.743571341
0.3,0.743571341
4,1.258071358
0.9,4.486524595
0.9,1.262371518
0.4,1.258071358
1.5,1.523962811
1.1,1.631124657
1.4,4.822903968
28.4,11.36596667
2.1,3.852496552
13.5,3.12729687
0.9,2.672446197
0.2,0.240782722
0.6,0.973625005
0.2,0.240782722
0.8,0.973625005
0.8,1.262371518
0.9,1.814486759
1.8,2.8023616
10.6,2.939807903
0.8,0.973625005
1.7,31.70235476
1.7,2.112130468
0.1,0.240782722
0.8,1.262371518
0.5,1.166594776
0.4,0.973625005
2,59.32052143
2,3.510228571
4.4,3.551878702
19.6,2.04277813
780.9,467.394
1.2,2.540055975
0.3,0.743571341
0.3,1.647461685
0.7,0.973625005
5.4,40.2717119
6.6,11.97411667
1,1.631124657
11.3,13.7836
0.8,1.262371518
0.8,1.614024209
0.2,0.240782722
11.5,2.8023616
0.4,1.166594776
0.5,1.351763094
3.5,7.507118543
1.4,2.939807903
1.7,2.8023616
0.3,0.240782722
1.2,1.614024209
0.4,0.743571341
1,1.614024209
0.2,0.240782722
1,1.631124657
0.5,1.166594776
0.6,1.166594776
0.6,1.262371518
2.9,2.137471581
10.4,2.939807903
0.7,2.672446197
0.7,1.351763094
0.8,1.262371518
1,0.973625005
0.9,1.631124657
0.6,1.351763094
0.3,1.351763094
15.6,4.312219
33.3,113.682
0.6,1.262371518
2.6,7.773658775
0.8,2.672446197
91.4,1.166594776
0.7,1.351763094
0.8,2.672446197
1.3,2.939807903
1.2,1.614024209
1.3,2.04277813
0.8,2.672446197
1.3,1.614024209
0.8,0.973625005
0.8,1.523962811
1.8,2.9957165
2.4,7.895177778
11.2,3.852496552
1.4,2.939807903
0.6,1.262371518
0.8,1.262371518
2.9,7.773658775
3.9,2.137471581
1,1.523962811
3.3,3.945288528
1.9,2.672446197
0.7,1.631124657
0.2,1.647461685
1.4,8.161614286
1.4,2.939807903
1,1.258071358
0.4,0.743571341
1.6,1.523962811
0.8,1.258071358
0.6,0.973625005
0.1,0.240782722
82,87.65
0.3,1.647461685
0.8,0.973625005
3.3,7.773658775
1.5,2.189936563
2.8,2.540055975
0.2,0.240782722
0.9,2.672446197
4.6,4.486524595
13.7,81.41
7.7,7.217387548
578.9,457.152
1.1,2.189936563
0.8,1.614024209
0.6,0.973625005
1.6,7.217387548
0.2,0.240782722
0.2,0.240782722
0.8,2.672446197
1,1.258071358
1.5,1.258071358
2.1,2.656744645
4.1,2.64109714
1.4,1.258071358
6.3,2.8023616
0.9,1.262371518
0.6,2.672446197
1.2,2.939807903
6.7,6.6679
1.2,1.814486759
6.1,4.726969048
2.5,4.032731126
48,1.614024209
0.2,0.240782722
1.1,1.262371518
0.6,2.672446197
232.9,90.39468889
0.7,0.973625005
3.7,31.70235476
3,3.291879297
1.1,3.241953436
0.4,1.166594776
0.2,0.240782722
0.6,0.973625005
0.6,1.351763094
1.8,2.189936563
1.3,2.04277813
0.3,1.647461685
1,1.631124657
4,7.773658775
1,1.631124657
0.1,0.50839059
0.7,1.166594776
0.6,1.351763094
1.2,1.614024209
2.9,2.540055975
1.2,1.523962811
0.7,0.973625005
20.5,23.25
1.2,2.939807903
1.1,2.112130468
1.3,2.04277813
0.5,1.166594776
1.4,10.83587252
0.2,0.240782722
1.5,1.166594776
0.3,1.647461685
11.8,9.8159
0.8,1.631124657
1,1.631124657
0.9,1.631124657
10.6,60.206
0.5,1.351763094
1.6,4.486524595
1.1,1.614024209
0.3,0.743571341
1,0.973625005
0.6,1.351763094
0.8,1.262371518
0.9,1.258071358
30.6,27.896
141.4,36.68971905
0.2,0.240782722
4.2,61.6186011
4.5,10.55316554
5.9,5.289066667
1.3,1.614024209
0.6,0.973625005
0.6,2.939807903
0.9,1.631124657
0.9,2.672446197
1.1,1.258071358
55.6,63.346
0.5,1.351763094
1.2,1.258071358
6.4,24.6414
1.2,2.939807903
0.5,1.166594776
6.4,8.022
5.4,1.814486759
0.4,2.672446197
30.9,3.852496552
0.5,1.166594776
0.6,0.743571341
1,1.631124657
2,2.137471581
15.6,10.13373333
0.6,1.351763094
0.6,0.973625005
1.9,4.032731126
0.4,0.743571341
0.5,1.351763094
0.6,1.166594776
0.9,0.973625005
1.5,1.523962811
3.5,9.571420008
0.6,1.262371518
1.7,1.814486759
0.7,0.973625005
20.5,1.351763094
0.4,1.166594776
0.7,1.614024209
1.1,1.262371518
1.9,2.672446197
1.1,2.04277813
1.1,1.614024209
5.8,10.13373333
1.3,1.614024209
0.9,1.814486759
0.4,1.166594776
1,2.672446197
1.9,2.8023616
3,0.973625005
349.9,222.9
3,5.551926466
0.5,1.166594776
0.7,1.262371518
8.3,15.55544412
12.2,10.83587252
1.1,2.04277813
0.8,1.814486759
3.6,61.6186011
0.7,1.262371518
1.5,1.258071358
1.1,1.614024209
1,2.939807903
1.7,4.486524595
1.3,3.852496552
0.1,0.50839059
0.6,1.351763094
0.8,1.814486759
0.6,1.351763094
0.6,1.351763094
1,1.631124657
7.5,9.998
0.9,1.631124657
0.4,0.743571341
0.4,0.743571341
1.1,2.672446197
1.3,2.939807903
45.4,2.939807903
0.8,2.672446197
8.6,9.982162338
0.1,0.240782722
11.9,15.18
1.9,61.6186011
1.6,2.137471581
1.6,1.258071358
1.5,1.814486759
0.3,1.647461685
1.8,3.852496552
0.7,2.672446197
15.2,7.217387548
98.4,99.386
343.1,234.252
1,1.262371518
1.7,1.614024209
10.9,10.65966667
1.8,2.8023616
1.1,1.631124657
1.5,2.656744645
0.5,0.743571341
0.6,0.973625005
2.6,5.551926466
0.5,1.647461685
1.1,2.04277813
7,7.359666667
0.6,2.112130468
8,10.55316554
0.6,1.351763094
0.7,0.973625005
13.2,17.06326667
1.4,2.939807903
1,0.743571341
0.3,0.743571341
0.8,1.262371518
28.8,24.89012857
21.8,24.55653333
3.2,7.289022132
0.4,0.743571341
1.3,1.814486759
5.9,2.112130468
1.4,1.523962811
0.3,1.647461685
15.8,9.571420008
3.3,3.12729687
0.8,2.672446197
2.4,2.656744645
3.5,8.6216
0.9,0.973625005
27.4,0.743571341
0.4,0.743571341
4.5,20.488
3.9,10.21912038
4.7,22.222
0.4,0.743571341
2.5,3.241953436
0.7,0.973625005
0.6,0.973625005
0.4,1.166594776
0.7,0.973625005
1.7,1.523962811
2.1,2.8023616
0.5,1.166594776
0.3,0.240782722
17.3,29.956
1.9,2.8023616
1.1,1.614024209
0.6,1.166594776
0.7,1.523962811
0.6,1.166594776
1.2,7.217387548
0.8,1.523962811
4.1,7.9328
0.9,2.672446197
0.7,1.351763094
58.3,47.176
0.2,0.240782722
0.7,0.973625005
0.8,2.672446197
0.9,0.973625005
1.5,1.262371518
1.5,2.939807903
84.3,95.792
2.9,2.9957165
0.7,0.973625005
2.2,3.241953436
1.7,13.5057466
7,1.351763094
1.3,4.486524595
1.4,1.262371518
0.5,1.351763094
0.6,1.351763094
53.3,62.192
1.8,2.137471581
1,1.351763094
160.9,58.0785578
3.1,9.571420008
1.4,1.814486759
0.5,1.262371518
2,61.6186011
0.5,1.351763094
1.2,1.258071358
4.1,16.7719629
3.5,3.118233225
0.3,1.647461685
0.3,0.743571341
0.6,1.351763094
5.6,10.83587252
8.9,7.289022132
5.4,18.51361905
3.1,10.83587252
0.3,0.743571341
1.1,1.614024209
4.7,3.945288528
1.5,1.523962811
0.7,1.262371518
3.2,8.532242857
0.9,2.672446197
18.3,39.824
0.3,1.647461685
0.5,0.743571341
18.8,90.39468889
4,15.55544412
14.3,21.008
0.6,1.166594776
1.1,1.814486759
1.4,1.523962811
0.9,1.262371518
0.7,2.939807903
7.5,0.50839059
1.7,2.112130468
0.3,0.743571341
2.1,3.252152381
0.8,3.852496552
34.6,41.37133925
0.8,2.672446197
0.9,0.743571341
1.2,2.04277813
1.8,2.04277813
12.4,12.8
1.9,13.5057466
0.9,1.258071358
2.3,2.137471581
0.4,0.743571341
1.4,4.486524595
1.2,1.614024209
1.9,3.291879297
1.2,2.672446197
0.3,0.743571341
5.9,8.029751587
3.2,10.21912038
2.4,5.551926466
1.8,1.262371518
0.4,0.743571341
6,6.42446039
0.3,1.647461685
0.6,1.351763094
0.2,0.240782722
0.2,0.240782722
0.7,0.973625005
1.4,1.523962811
1.8,2.729452788
15.5,9.571420008
0.2,0.240782722
0.5,1.166594776
1.6,2.939807903
1,1.614024209
1.2,1.614024209
11.1,13.916
1.1,1.614024209
14.1,9.8159
1.3,2.939807903
1,2.672446197
3.3,7.289022132
0.8,1.262371518
4.1,61.6186011
26,20.77
1.6,2.939807903
1.2,1.351763094
0.2,0.240782722
4.6,4.528990476
3.4,4.15152381
0.4,1.647461685
30.1,38.374
1.5,1.814486759
1.2,4.486524595
0.3,1.647461685
5.9,20.1051
1.1,1.614024209
1.6,0.973625005
0.7,1.351763094
1.1,2.112130468
1.5,2.189936563
1,2.04277813
1.8,2.939807903
0.3,1.166594776
0.6,1.351763094
13.1,13.68
8.3,3.929903968
0.5,1.647461685
2.4,2.540055975
0.7,2.672446197
1.4,2.939807903
2.3,2.8023616
1.1,1.258071358
38.1,41.37133925
5.6,1.631124657
0.8,1.166594776
38.1,9.571420008
3,10.83587252
52.8,10.21912038
0.7,0.973625005
4.5,2.540055975
20.2,49.688
5.6,20.9676
4.9,54.66125317
3.7,4.312219
1.9,18.51361905
2.5,2.137471581
1.5,1.631124657
1.7,2.112130468
0.5,1.351763094
4.2,5.260093767
2.7,2.189936563
1.7,1.614024209
0.2,1.647461685
1.5,2.939807903
10.6,9.7416
4.5,13.0713
1.2,2.04277813
0.9,1.631124657
0.3,0.240782722
3.2,2.137471581
1.2,1.614024209
1.6,4.486524595
1,1.258071358
0.9,2.672446197
0.9,2.672446197
3.8,3.291879297
6.2,3.551878702
2.7,3.929903968
0.7,1.262371518
2.1,3.852496552
1.3,2.939807903
0.5,1.351763094
0.2,0.240782722
0.8,1.614024209
1,1.258071358
1.4,1.814486759
0.1,0.240782722
0.5,1.647461685
12.1,5.551926466
0.4,0.743571341
0.5,0.743571341
0.7,1.262371518
0.7,2.672446197
0.7,1.262371518
0.2,1.647461685
0.2,0.50839059
4,5.148363431
1.1,2.04277813
1.6,3.12729687
0.8,1.258071358
0.6,1.262371518
1.4,2.540055975
10.1,3.241953436
0.3,0.240782722
0.8,2.672446197
3.9,1.523962811
4.2,0.973625005
1.5,1.523962811
1.3,3.852496552
2.3,4.032731126
0.7,1.351763094
0.7,0.973625005
1.4,1.523962811
0.2,0.240782722
0.3,1.647461685
0.8,1.262371518
28.9,23.98
0.3,1.647461685
0.5,1.166594776
0.6,1.262371518
2,3.241953436
0.7,2.8023616
1.1,0.973625005
1.2,1.631124657
3.9,3.118233225
0.4,1.166594776
3.4,7.289022132
0.2,0.240782722
0.7,2.672446197
0.2,1.647461685
2.7,58.0785578
0.5,2.04277813
0.7,1.262371518
3.1,1.631124657
1.1,1.814486759
0.4,1.166594776
1.4,2.112130468
0.5,1.166594776
3.7,7.289022132
0.6,0.743571341
0.6,1.351763094
1.9,4.486524595
1.4,2.939807903
1.1,1.614024209
2.3,10.83587252
2.4,1.614024209
4.5,3.510228571
2.8,14.80782696
4.4,54.66125317
0.8,1.166594776
0.8,3.852496552
1.2,1.351763094
3.7,19.382
2.4,2.540055975
1.1,4.486524595
0.5,0.743571341
12.4,11.96
2.1,4.032731126
2.5,2.656744645
0.9,2.672446197
1.7,1.614024209
0.7,0.973625005
1.2,1.614024209
1.3,2.04277813
0.5,1.166594776
0.3,0.743571341
3.5,61.6186011
1,1.614024209
3.5,3.118233225
0.2,1.647461685
3.2,2.729452788
1.3,2.112130468
1.7,3.852496552
1.4,0.973625005
0.8,1.166594776
0.2,0.240782722
0.3,0.743571341
0.8,0.973625005
0.1,0.50839059
2.3,4.486524595
1.4,4.486524595
1.7,2.8023616
0.8,1.262371518
2.4,4.528990476
0.6,1.351763094
1.7,4.486524595
0.7,1.262371518
0.6,0.973625005
1.5,1.631124657
0.9,1.614024209
0.4,0.743571341
16.3,7.289022132
3.2,4.371533323
0.4,1.166594776
0.7,1.262371518
1.2,0.973625005
0.2,0.240782722
1.5,1.631124657
0.7,1.262371518
2.9,3.852496552
5.1,3.156486364
0.7,1.351763094
1.2,2.189936563
2.4,1.166594776
0.7,1.262371518
1,1.262371518
5.7,37.07
1.1,2.04277813
0.5,1.351763094
0.5,1.166594776
1.4,4.032731126
4.5,5.148363431
1.8,4.032731126
0.5,0.973625005
1.3,2.04277813
1.9,10.83587252
1,1.258071358
0.8,0.743571341
0.2,0.240782722
0.8,1.262371518
0.9,1.258071358
0.7,0.973625005
1,2.189936563
0.7,1.814486759
2.1,4.032731126
2,7.217387548
0.6,1.351763094
1.2,1.814486759
0.5,0.743571341
0.8,2.672446197
0.7,1.262371518
5.9,9.571420008
1,1.814486759
0.7,1.262371518
1,1.166594776
1.8,3.852496552
1,1.258071358
1.5,2.04277813
0.8,1.631124657
2,1.814486759
4.1,31.22687619
1.4,4.486524595
0.5,1.166594776
0.9,1.631124657
5.2,4.281060317
0.9,1.631124657
0.5,1.166594776
1.2,2.8023616
1,1.631124657
0.3,0.743571341
0.9,1.258071358
5.3,6.344933333
4.1,19.74671429
1.5,4.032731126
2.4,10.83587252
3,5.551926466
0.5,1.614024209
0.7,0.973625005
0.6,0.973625005
157,77.08313333
1.2,2.04277813
2.7,2.672446197
1.2,2.656744645
16.6,11.7212
10.1,8.448
5,2.939807903
0.6,1.351763094
0.5,1.258071358
0.4,1.351763094
1.4,0.743571341
0.7,0.973625005
0.3,1.647461685
2.5,2.8023616
1.5,0.743571341
21.7,17.806
0.3,0.240782722
0.4,1.647461685
2.5,9.625152406
14.1,14.236
0.7,1.262371518
0.9,1.631124657
4.8,4.312219
0.1,0.50839059
0.6,2.672446197
6.7,4.371533323
9.5,2.112130468
1.7,4.032731126
1.2,1.614024209
1.2,1.258071358
4.2,36.68971905
1,1.351763094
2.4,2.112130468
9.2,2.939807903
0.2,0.240782722
1.7,2.64109714
1.2,4.032731126
2.2,10.83587252
1.5,1.262371518
0.2,0.240782722
0.4,1.166594776
0.8,1.262371518
4.8,40.2717119
1.1,1.631124657
34.1,19.74671429
0.8,1.631124657
0.9,1.258071358
1,1.614024209
0.9,1.262371518
0.5,1.166594776
1.2,1.258071358
0.4,0.240782722
0.8,2.672446197
0.7,0.973625005
0.5,0.973625005
1,13.5057466
0.6,1.351763094
0.4,1.166594776
0.9,1.631124657
4.2,36.68971905
1.1,1.614024209
0.8,0.973625005
0.5,1.351763094
9.1,41.37133925
1.6,1.523962811
0.3,0.743571341
0.5,0.743571341
0.8,1.262371518
0.8,0.973625005
0.4,0.743571341
2.2,3.12729687
1.7,2.64109714
0.7,0.743571341
0.2,1.647461685
3.3,1.523962811
8.7,11.71890635
0.4,0.743571341
0.6,0.973625005
3.6,3.551878702
1.5,1.814486759
0.8,1.262371518
0.9,2.672446197
0.7,1.631124657
2.2,4.032731126
145.4,41.37133925
0.8,2.672446197
2,10.83587252
12.4,12.14606667
1.4,1.523962811
0.6,1.351763094
0.7,1.262371518
0.3,0.743571341
18.2,26.7086
1.4,58.0785578
2.1,3.852496552
5.2,13.5057466
235.2,58.0785578
0.5,1.351763094
1,13.5057466
0.6,1.262371518
1.5,1.523962811
4.5,14.5923
0.6,1.351763094
1.3,1.614024209
18.7,202.134
0.5,1.262371518
6.7,2.8023616
1.7,4.486524595
1,1.262371518
19.8,48.954
0.3,1.166594776
0.5,1.262371518
0.5,1.166594776
0.5,1.351763094
1.2,1.631124657
0.8,0.973625005
0.3,0.240782722
0.4,1.166594776
0.7,1.262371518
0.7,1.351763094
0.4,1.166594776
0.6,0.973625005
0.8,0.973625005
0.4,1.166594776
0.2,0.240782722
0.4,1.166594776
1.2,1.614024209
2.3,3.12729687
2.3,4.032731126
0.1,0.50839059
2.3,10.83587252
0.6,1.351763094
2,1.351763094
1.7,1.523962811
0.8,1.351763094
1.4,2.939807903
2.1,58.0785578
1,0.973625005
0.5,1.166594776
4.4,14.99536429
0.5,1.166594776
0.4,1.647461685
25.3,10.83587252
0.3,1.647461685
5.1,7.256362698
0.7,0.973625005
0.3,1.647461685
3.6,4.174966667
0.5,1.166594776
0.6,0.973625005
0.6,1.351763094
0.5,1.351763094
1.4,1.814486759
28.2,29.21
23.8,1.351763094
3.5,1.262371518
0.9,2.04277813
0.3,1.647461685
0.9,2.672446197
0.5,1.351763094
1,1.631124657
24.4,50.424
0.4,1.166594776
0.7,0.973625005
1.6,1.523962811
3.8,9.571420008
0.6,1.351763094
0.4,1.166594776
0.8,0.973625005
1.5,2.04277813
1.6,0.743571341
1.5,2.112130468
0.3,0.743571341
0.7,0.973625005
0.6,1.351763094
0.6,0.973625005
1.3,1.614024209
3.2,1.262371518
1.7,4.486524595
3,3.12729687
12.2,8.486466667
2.1,4.032731126
1.6,2.112130468
1.1,1.258071358
1.6,2.112130468
0.5,1.351763094
1.3,2.939807903
0.2,0.240782722
0.4,1.262371518
6.2,7.156666667
8.4,25.078
14.3,3.852496552
0.9,2.189936563
5.3,4.032731126
2.7,11.97411667
0.7,2.672446197
1.6,2.8023616
4,4.371533323
0.5,1.166594776
0.7,1.262371518
0.7,0.973625005
0.6,1.647461685
2.6,1.258071358
0.1,0.50839059
2.1,2.672446197
1.4,4.486524595
25.4,7.289022132
51.7,19.07733636
3.8,16.7719629
0.6,1.351763094
1.2,2.939807903
0.4,1.647461685
3.1,1.631124657
0.4,0.743571341
1,1.614024209
0.7,1.614024209
8.6,10.09706667
0.9,1.631124657
2.5,14.99536429
0.4,0.743571341
0.4,1.351763094
1.2,2.672446197
0.4,1.166594776
0.4,1.166594776
1,1.614024209
25.1,10.83587252
0.6,0.743571341
0.8,0.743571341
0.4,0.743571341
1.8,2.189936563
0.2,0.240782722
0.4,1.166594776
9.2,9.7416
0.3,1.647461685
1.6,2.189936563
2.8,7.773658775
0.9,0.743571341
1,1.631124657
9.2,9.576
1.1,3.852496552
0.9,1.631124657
0.9,2.672446197
0.3,1.647461685
0.7,0.973625005
3.1,2.672446197
2.6,2.939807903
0.5,1.166594776
1.2,1.631124657
8.9,6.42446039
0.9,1.258071358
2.9,0.973625005
4.2,2.04277813
3.7,14.99536429
0.5,0.240782722
0.5,1.351763094
0.2,0.50839059
3.9,9.571420008
1.5,1.814486759
66.6,4.032731126
0.8,2.672446197
1.2,2.04277813
0.8,0.973625005
1.3,2.04277813
0.5,1.166594776
1.1,1.258071358
0.8,1.614024209
0.4,1.166594776
0.5,0.973625005
1.6,2.112130468
0.8,1.262371518
0.9,1.631124657
1.5,1.523962811
15.3,18.424
0.3,1.647461685
0.1,0.50839059
2,3.852496552
174.6,54.18757619
1.3,1.814486759
100.2,79.136
1.7,1.523962811
2,3.852496552
0.6,1.351763094
0.8,1.631124657
1.6,1.814486759
3.3,5.551926466
2.3,10.83587252
0.4,0.240782722
1.2,2.04277813
