S(t-1),S(t)
0.5,1.1
1.1,0.7
0.7,0.4
0.4,0.5
0.5,1.2
1.2,1.9
1.9,1.0
1.0,0.9
0.9,1.1
1.1,1.0
1.0,1.7
1.7,0.6
0.6,0.6
0.6,1.1
1.1,0.8
0.8,0.6
0.6,0.5
0.5,0.4
0.4,0.5
0.5,0.6
0.6,0.6
0.6,0.7
0.7,18.7
18.7,23.1
23.1,6.0
6.0,2.1
2.1,5.4
5.4,85.5
85.5,96.1
96.1,18.9
18.9,5.6
5.6,38.1
38.1,20.0
20.0,13.8
13.8,10.2
10.2,3.9
3.9,3.6
3.6,14.6
14.6,10.1
10.1,5.7
5.7,5.3
5.3,4.0
4.0,2.8
2.8,2.0
2.0,2.0
2.0,2.0
2.0,1.8
1.8,2.3
2.3,1.7
1.7,1.7
1.7,1.4
1.4,1.2
1.2,1.2
1.2,48.0
48.0,98.4
98.4,11.9
11.9,5.0
5.0,5.9
5.9,3.6
3.6,2.7
2.7,2.1
2.1,1.9
1.9,1.5
1.5,1.4
1.4,1.3
1.3,1.2
1.2,1.4
1.4,0.9
0.9,0.8
0.8,0.7
0.7,0.7
0.7,0.7
0.7,0.7
0.7,0.6
0.6,0.6
0.6,0.5
0.5,0.5
0.5,0.6
0.6,0.9
0.9,0.5
0.5,0.5
0.5,0.5
0.5,0.6
0.6,72.1
72.1,271.6
271.6,53.3
53.3,28.9
28.9,15.3
15.3,10.2
10.2,117.3
117.3,578.9
578.9,82.0
82.0,30.5
30.5,13.9
13.9,9.2
9.2,8.7
8.7,7.0
7.0,6.1
6.1,5.8
5.8,4.9
4.9,4.0
4.0,4.1
4.1,3.2
3.2,2.6
2.6,2.1
2.1,2.2
2.2,2.0
2.0,1.8
1.8,1.7
1.7,1.6
1.6,1.6
1.6,1.4
1.4,45.4
45.4,16.1
16.1,7.5
7.5,3.7
3.7,2.9
2.9,2.5
2.5,20.4
20.4,31.4
31.4,4.5
4.5,2.0
2.0,2.5
2.5,1.9
1.9,1.8
1.8,1.2
1.2,1.1
1.1,1.1
1.1,1.1
1.1,0.9
0.9,0.7
0.7,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,1.0
1.0,1.0
1.0,0.8
0.8,0.6
0.6,0.6
0.6,0.7
0.7,0.6
0.6,2.9
2.9,3.1
3.1,1.6
1.6,2.8
2.8,1.4
1.4,2.8
2.8,0.9
0.9,1.3
1.3,1.8
1.8,1.7
1.7,2.9
2.9,4.5
4.5,3.5
3.5,2.2
2.2,1.8
1.8,1.7
1.7,1.7
1.7,1.6
1.6,1.3
1.3,1.3
1.3,1.2
1.2,1.2
1.2,1.1
1.1,1.0
1.0,1.0
1.0,1.5
1.5,1.4
1.4,1.0
1.0,1.2
1.2,1.1
1.1,0.9
0.9,0.9
0.9,0.8
0.8,0.8
0.8,0.8
0.8,0.8
0.8,0.9
0.9,1.2
1.2,0.9
0.9,0.7
0.7,0.7
0.7,0.6
0.6,0.7
0.7,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.7
0.7,0.7
0.7,0.6
0.6,0.7
0.7,1.1
1.1,2.2
2.2,1.0
1.0,0.7
0.7,0.9
0.9,1.9
1.9,0.9
0.9,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.5
0.5,0.7
0.7,1.2
1.2,0.7
0.7,0.7
0.7,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.6
0.6,4.0
4.0,2.2
2.2,1.0
1.0,0.9
0.9,0.6
0.6,0.8
0.8,2.4
2.4,0.5
0.5,0.4
0.4,0.3
0.3,0.5
0.5,91.4
91.4,5.7
5.7,1.4
1.4,1.1
1.1,4.0
4.0,100.9
100.9,215.3
215.3,4.5
4.5,1.9
1.9,1.5
1.5,1.5
1.5,1.5
1.5,1.5
1.5,1.4
1.4,1.4
1.4,1.2
1.2,1.6
1.6,1.7
1.7,1.4
1.4,1.8
1.8,1.6
1.6,1.4
1.4,1.4
1.4,1.0
1.0,0.9
0.9,0.7
0.7,0.6
0.6,0.4
0.4,0.5
0.5,1.4
1.4,1.5
1.5,0.8
0.8,0.6
0.6,0.8
0.8,0.9
0.9,0.7
0.7,0.7
0.7,15.6
15.6,1.9
1.9,1.4
1.4,10.4
10.4,1.9
