Actual Train,Predicted Train
0.7,2.5301085
0.6,1.2735012
0.7,1.1041701
2,2.0752442
0.7,1.199078
0.3,0.99996966
0.6,1.199078
0.9,1.2735012
3,6.586166
0.7,1.199078
2.3,1.1041701
224.3,213.98451
3.2,15.379824
0.5,0.99996966
0.9,4.085199
0.8,2.5301085
0.9,1.199078
2.7,7.4990387
2.9,1.199078
1.1,1.199078
3,11.127504
2.2,2.5309975
1.3,2.0752442
1.8,1.6842822
8.3,6.1897326
14.4,12.664679
31.4,21.960577
1.6,1.7405168
0.3,1.4097159
0.7,2.5301085
1,14.963582
0.8,1.2735012
0.4,1.4097159
1.3,2.494395
0.4,1.4097159
1.3,2.048087
1.8,1.199078
5.6,9.067133
0.5,1.199078
0.4,0.99996966
1.3,1.199078
0.4,1.199078
1,1.6981727
0.7,1.199078
0.6,2.0752442
6.3,11.127504
4,13.776825
0.4,1.199078
0.6,1.199078
4.9,5.975073
0.8,2.5301085
1,1.6981727
0.8,2.5301085
2.7,12.701609
0.3,0.99996966
0.6,1.199078
1.7,2.048087
0.9,1.2735012
46.1,27.470638
1,1.5596603
14.6,6.7905
1.2,2.0752442
0.3,1.4097159
1.4,9.140331
1,1.5596603
0.8,1.199078
0.7,2.5301085
0.5,0.99996966
2.3,11.127504
5.8,0.99996966
1.7,2.048087
0.7,1.2735012
0.7,1.2735012
0.6,1.199078
102.8,85.72811
0.5,0.99996966
0.7,1.6981727
0.5,1.4097159
2.4,2.7483327
2.5,1.8678397
1.4,1.7405168
7.5,5.975073
0.6,1.199078
0.2,0.36175534
0.4,0.99996966
0.4,0.99996966
0.3,0.99996966
4,1.5596603
0.9,3.7622685
0.9,1.2735012
0.4,1.5596603
1.5,1.7405168
1.1,1.6981727
1.4,5.975073
28.4,14.09299
2.1,4.085199
13.5,3.322645
0.9,2.5301085
0.2,0.36175534
0.6,1.1041701
0.2,0.36175534
0.8,1.1041701
0.8,1.2735012
0.9,1.8678397
1.8,2.6335285
10.6,2.7819293
0.8,1.1041701
1.7,29.474976
1.7,2.048087
0.1,0.36175534
0.8,1.2735012
0.5,1.199078
0.4,1.1041701
2,54.32955
2,6.0245304
4.4,4.783815
19.6,2.0752442
780.9,778.3049
1.2,2.7483327
0.3,0.99996966
0.3,1.4097159
0.7,1.1041701
5.4,34.06067
6.6,13.776825
1,1.6981727
11.3,12.50268
0.8,1.2735012
0.8,1.6842822
0.2,0.36175534
11.5,2.6335285
0.4,1.199078
0.5,1.199078
3.5,9.067133
1.4,2.7819293
1.7,2.6335285
0.3,0.36175534
1.2,1.6842822
0.4,0.99996966
1,1.6842822
0.2,0.36175534
1,1.6981727
0.5,1.199078
0.6,1.199078
0.6,1.2735012
2.9,2.5309975
10.4,2.7819293
0.7,2.5301085
0.7,1.199078
0.8,1.2735012
1,1.1041701
0.9,1.6981727
0.6,1.199078
0.3,1.199078
15.6,5.0080423
33.3,35.2903
0.6,1.2735012
2.6,8.69886
0.8,2.5301085
91.4,1.199078
0.7,1.199078
0.8,2.5301085
1.3,2.7819293
1.2,1.6842822
1.3,2.0752442
0.8,2.5301085
1.3,1.6842822
0.8,1.1041701
0.8,1.7405168
1.8,5.4957943
2.4,5.975073
11.2,4.085199
1.4,2.7819293
0.6,1.2735012
0.8,1.2735012
2.9,8.69886
3.9,2.5309975
1,1.7405168
3.3,6.35882
1.9,2.5301085
0.7,1.6981727
0.2,1.4097159
1.4,6.899174
1.4,2.7819293
1,1.5596603
0.4,0.99996966
1.6,1.7405168
0.8,1.5596603
0.6,1.1041701
0.1,0.36175534
82,82.70226
0.3,1.4097159
0.8,1.1041701
3.3,8.69886
1.5,2.494395
2.8,2.7483327
0.2,0.36175534
0.9,2.5301085
4.6,3.7622685
13.7,18.87446
7.7,7.0144978
578.9,566.7361
1.1,2.494395
0.8,1.6842822
0.6,1.1041701
1.6,7.0144978
0.2,0.36175534
0.2,0.36175534
0.8,2.5301085
1,1.5596603
1.5,1.5596603
2.1,2.7483327
4.1,3.9330285
1.4,1.5596603
6.3,2.6335285
0.9,1.2735012
0.6,2.5301085
1.2,2.7819293
6.7,8.975348
1.2,1.8678397
6.1,5.975073
2.5,4.3714733
48,1.6842822
0.2,0.36175534
1.1,1.2735012
0.6,2.5301085
232.9,81.985634
0.7,1.1041701
3.7,29.474976
3,3.3663895
1.1,3.3663895
0.4,1.199078
0.2,0.36175534
0.6,1.1041701
0.6,1.199078
1.8,2.494395
1.3,2.0752442
0.3,1.4097159
1,1.6981727
4,8.69886
1,1.6981727
0.1,0.5482749
0.7,1.199078
0.6,1.199078
1.2,1.6842822
2.9,2.7483327
1.2,1.7405168
0.7,1.1041701
20.5,27.25199
1.2,2.7819293
1.1,2.048087
1.3,2.0752442
0.5,1.199078
1.4,11.127504
0.2,0.36175534
1.5,1.199078
0.3,1.4097159
11.8,10.524916
0.8,1.6981727
1,1.6981727
0.9,1.6981727
10.6,11.241665
0.5,1.199078
1.6,3.7622685
1.1,1.6842822
0.3,0.99996966
1,1.1041701
0.6,1.199078
0.8,1.2735012
0.9,1.5596603
30.6,28.574251
141.4,32.139343
0.2,0.36175534
4.2,61.93792
4.5,12.701609
5.9,6.899174
1.3,1.6842822
0.6,1.1041701
0.6,2.7819293
0.9,1.6981727
0.9,2.5301085
1.1,1.5596603
55.6,60.044853
0.5,1.199078
1.2,1.5596603
6.4,20.018284
1.2,2.7819293
