Actual Train,Predicted Train
1,0.743414893
0.6,1.492390293
0.7,2.496795349
0.3,0.36952714
0.7,6.734789732
0.3,0.799980265
0.7,0.743414893
1.2,1.198084498
3,3.121868506
1.2,1.519302209
1.2,1.374
14.1,26.299
3,3.58995
0.5,1.532987358
0.7,0.688283333
0.8,0.952518356
0.5,0.82786746
1.2,1.678
8.7,6.833333333
0.8,0.828428571
2,8.0218
2,4.97505
1.3,2.240948315
1.8,1.215826272
8.3,27.547
2.7,18.11
4.5,10.78
1.9,1.603369186
0.3,0.36952714
0.6,0.743414893
0.7,1.373347619
0.8,0.952518356
1.4,2.081968795
1.1,1.835366667
18.3,23.566
1.5,1.465154762
1,1.2593
4,9.96
0.5,1.233318868
0.4,0.52458514
1.7,1.3361
0.4,0.52458514
0.8,1.069240502
4.2,1.182985137
0.6,0.541104762
16.3,21.153
4.1,3.741
0.4,0.52458514
0.5,0.924977141
4.5,4.558
1,0.952518356
1,0.906348773
0.7,0.952518356
1.7,1.803
0.3,0.799980265
0.6,0.924977141
1.7,1.836900534
0.9,1.198084498
8.1,16.932
1.1,1.208446852
10.1,10.61
1.2,2.240948315
0.3,0.36952714
0.6,0.707
4.5,5.084
0.8,13.55029889
0.8,0.743414893
0.4,1.532987358
2.1,2.081968795
5.8,1.760440079
2.4,1.836900534
0.6,0.8363485
4.3,0.8363485
0.6,0.785479683
0.7,2.496795349
0.8,0.792
0.9,0.644679749
0.5,5.530295278
3.8,16.04260754
46.2,29.959
45.4,6.347685687
7.5,7.7902
0.6,0.924977141
0.2,0.229240101
0.4,0.799980265
0.5,0.799980265
0.4,5.530295278
100.9,89.151
0.2,0.229240101
0.9,1.016458926
12,7.134539683
14.3,2.387918977
1,1.130791144
1.6,1.342
5,7.062
0.5,0.651184679
5.4,5.5012
1.9,0.914335218
0.1,0.229240101
0.6,0.785479683
0.2,0.229240101
0.8,0.8363485
0.8,0.983641738
0.8,5.907245695
1.7,1.744948812
12.3,10.486
1.9,2.274
1.3,1.43675
2.4,1.836900534
0.1,0.229240101
1,0.964171772
0.5,1.233318868
1.3,1.147339552
3.7,7.251
2.2,3.373
2.6,5.526
19.6,2.240948315
0.4,0.799980265
1,0.901238095
0.5,5.530295278
0.2,0.36952714
0.6,2.496795349
0.3,0.36952714
3.9,4.2625
0.9,1.069240502
11.3,12.596
0.8,0.952518356
0.8,0.954283333
0.2,0.229240101
0.3,0.36952714
0.4,0.651184679
0.4,0.651184679
0.3,0.52458514
1.2,1.857677275
1.7,1.947485714
0.2,0.260581911
1.1,4.109517299
32.7,25.492
0.4,0.743414893
0.2,0.229240101
1,1.069240502
0.8,1.233318868
0.6,0.651184679
0.6,1.492390293
2.1,2.92625
1.9,5.897
2.4,3.263
0.8,1.546708222
0.8,0.964171772
1.5,1.106765079
0.9,5.551955421
0.6,0.924977141
0.2,0.250541667
32.4,23.677
33.3,66.752
23.8,1.492390293
2.7,2.237716667
0.8,0.952518356
5.7,48.508
2.2,2.4122
0.8,1.78117381
1.2,1.289270549
1.7,4.109517299
1.3,2.240948315
0.8,0.836411275
1.3,1.293030617
0.8,1.546708222
2,1.165152381
1.8,2.264
1.8,2.309707143
20.8,17.501
1.4,2.339807143
32.1,26.791
0.9,0.964171772
2.2,2.168408333
2.1,1.880654762
1,1.559769048
6.3,4.9805
2.2,1.613980952
0.3,0.644679749
2.6,1.847929365
0.6,0.745
659.4,459.519
0.9,1.208446852
2.3,1.289270549
1.6,1.603369186
0.7,0.983641738
0.6,0.785479683
0.2,0.187974448
30.5,27.76
0.3,5.530295278
0.4,1.760440079
3,3.489333333
1.4,1.386875397
0.9,1.069240502
0.7,0.8363485
0.8,0.914335218
5.4,16.385
44.1,30.435
0.4,0.52458514
82,65.258
1.9,1.208869048
0.8,15.56565992
0.6,0.785479683
1.6,2.276357143
0.2,0.229240101
0.5,1.233318868
0.6,0.952518356
6.4,1.208446852
1.9,1.287012698
1.9,2.565171429
4.1,3.759542857
1.5,3.226365188
2.4,6.401
0.7,1.198084498
0.6,1.198084498
1.2,1.293030617
0.4,5.530295278
1,1.045777657
6.1,5.4515
2.5,2.278505952
98.4,76.886
0.4,0.229240101
1.1,1.457959898
0.6,0.570727589
13.8,51.69
0.2,0.244494589
3.2,5.84
28.3,21.26696667
0.9,0.975283333
2.6,0.52458514
0.3,0.229240101
0.7,0.743414893
0.6,0.924977141
1.5,1.697408727
1.3,1.519400685
1.5,0.36952714
1,1.069240502
2.7,3.372333333
0.9,1.069240502
0.1,0.764808876
0.7,1.182985137
0.6,0.924977141
1,4.109517299
2.8,2.649466667
1.3,1.284552522
0.7,2.496795349
20.5,22.733
1.3,1.293030617
0.7,0.906310714
1.9,1.809118182
0.5,1.233318868
1.4,1.38245
