Actual Train ,Predicted Train
0.7,0.826511905
0.6,0.886451166
0.7,0.803110551
2,1.679971429
0.7,0.733021471
0.3,0.578104437
0.6,0.609467643
0.9,0.842128571
3,3.83
0.7,0.695790019
2.3,0.866175653
224.3,164.068
3.2,3.128066667
0.5,0.639354638
0.9,0.978233333
0.8,20.02777966
0.9,0.7542
2.7,4.99
2.9,0.780142864
1.1,0.693953785
3,1.794338095
2.2,1.8372
1.3,3.084615152
1.8,1.224710245
8.3,9.872
14.4,20.242
31.4,23.156
1.6,1.465495238
0.3,0.317796245
0.7,0.757216667
1,2.1117
0.8,0.902384127
0.4,0.297247619
1.3,1.601479365
0.4,0.309461885
1.3,1.528823016
1.8,0.836703097
5.6,6.734
0.5,0.836703097
0.4,0.709843894
1.3,1.198298764
0.4,0.519757484
1,1.603036219
0.7,0.575357448
0.6,0.839866667
6.3,4.141778061
4,4.614
0.4,0.707278174
0.6,0.726623066
4.9,25.406
0.8,1.386680952
1,0.977027778
0.8,0.835816388
2.7,4.86
0.3,1.164218839
0.6,0.568249062
1.7,2.484900794
0.9,1.220627815
46.1,47.478
1,0.808181818
14.6,9.642733333
1.2,1.112916667
0.3,0.253587781
1.4,12.144
1,1.140589971
0.8,0.575357448
0.7,0.971227675
0.5,0.513581177
2.3,2.892
5.8,1.164218839
1.7,2.033938889
0.7,1.267652189
0.7,0.766620318
0.6,1.323938961
102.8,76.758
0.5,0.578104437
0.7,0.867733333
0.5,0.382581036
2.4,2.826333333
2.5,2.1364
1.4,2.336
7.5,6.598
0.6,1.852865806
0.2,0.225742603
0.4,1.06379045
0.4,0.639354638
0.3,0.491299963
4,1.28076039
0.9,1.084
0.1,0.1
0.4,1.28076039
1.5,1.252734715
1.1,1.06975404
1.4,3.87
28.4,18.196
2.1,1.690647619
13.5,10.1698
0.9,0.971227675
0.2,0.295340292
0.6,0.624
0.2,0.225742603
0.8,0.683086221
0.8,1.220627815
0.9,1.060846032
1.8,1.522233333
10.6,3.988038095
0.8,1.121390682
1.7,13.826
1.7,2.484900794
0.1,0.127250794
0.8,0.862627223
0.5,2.389243442
0.4,1.121390682
2,28.422
2,3.352
4.4,7.712
19.6,8.852104762
780.9,495.104
1.2,2.6804
0.3,0.639354638
0.3,0.338248146
0.7,0.726280952
5.4,9.294
6.6,6.206
1,0.940819123
11.3,12.084
0.8,0.826695238
0.8,27.05321905
0.2,0.2
11.5,3.533688889
0.4,0.575357448
0.5,2.850181178
3.5,21.068
1.4,3.743788889
1.7,1.726
0.3,0.264850577
1.2,1.16600873
0.4,0.491299963
1,1.116157937
0.2,0.2
1,0.979376984
0.5,0.533023088
0.6,0.523560763
0.6,0.852100794
2.9,2.4804
10.4,3.986821717
0.7,0.767399695
0.7,0.696311572
0.8,1.220627815
1,0.824162269
0.9,0.935994156
0.6,1.98418884
0.3,1.198298764
15.6,7.754866667
33.3,86.886
0.6,0.886451166
2.6,20.346
0.8,6.286417528
91.4,9.912889266
0.7,0.814304236
0.8,11.67153802
1.3,1.371092108
1.2,0.956422872
1.3,1.210845055
0.8,0.767399695
1.3,1.079493651
0.8,0.824162269
0.8,1.327259524
1.8,6.788
2.4,8.668
11.2,4.497228571
1.4,1.335052381
0.6,0.766620318
0.8,5.202032168
2.9,2.832
3.9,2.606133333
1,1.302652381
3.3,7.616
1.9,0.971227675
0.7,1.603036219
0.2,0.415594985
1.4,2.966
1.4,1.32679127
1,1.242019336
0.4,0.513581177
1.6,1.552760134
0.8,1.11685873
0.6,0.645861711
0.1,0.225742603
82,91.09
0.3,0.312231363
0.8,0.73123456
3.3,3.186
1.5,1.569
2.8,3.254
0.2,0.225742603
0.9,0.89647619
4.6,35.25741667
13.7,44.196
7.7,7.0342
578.9,365.732
1.1,1.61487619
0.8,1.121401166
0.6,0.803110551
1.6,2.729
0.2,0.202
0.2,0.202
0.8,6.286417528
1,0.964456566
1.5,1.28076039
2.1,3.13
4.1,4.102
1.4,0.999012698
6.3,6.301433333
0.9,5.202032168
0.6,0.971227675
1.2,0.824
6.7,8.642
1.2,3.001435714
6.1,5.3
2.5,2.766
48,27.05321905
0.2,0.225742603
1.1,0.916938963
0.6,0.826511905
232.9,146.854
0.7,0.637480316
3.7,11.93
3,3.0203
1.1,2.152666667
0.4,0.558581682
0.2,0.264850577
0.6,1.195566999
0.6,0.7542
1.8,1.801380952
1.3,1.031714286
0.3,0.309461885
1,0.979376984
4,3.984
1,1.027461805
0.1,0.100333333
0.7,0.707278174
0.6,0.726623066
1.2,1.01965
2.9,2.674566667
1.2,1.252734715
0.7,0.809711482
20.5,20.792
1.2,3.986821717
1.1,1.762485714
1.3,1.260670591
0.5,9.912889266
1.4,1.794338095
0.2,0.291647827
1.5,0.836703097
0.3,0.309461885
11.8,14.744
0.8,0.951052847
1,0.929921356
0.9,0.940819123
10.6,25.948
0.5,2.850181178
1.6,1.622411905
1.1,1.121401166
0.3,0.639354638
1,0.683086221
0.6,0.780142864
0.8,0.766620318
0.9,1.08362381
30.6,34.88
141.4,77.366
0.2,0.2
4.2,4.538
4.5,15.85
5.9,7.134
1.3,1.224710245
0.6,0.866175653
0.6,1.098921429
0.9,1.010512698
0.9,20.02777966
1.1,1.155279895
55.6,73.442
0.5,0.780142864
1.2,1.199961399
6.4,20.876
1.2,1.395287302
0.5,0.523560763
6.4,10.364
5.4,2.641783333
0.4,1.386680952
30.9,19.9716
0.5,0.707278174
0.6,0.578104437
1,1.027461805
2,2.1488
15.6,12.384
0.6,2.477917331
0.6,0.866175653
1.9,2.08
0.4,0.639354638
0.5,2.477917331
0.6,0.582
0.9,0.908468604
1.5,1.5025
3.5,4.632
0.6,0.784124198
1.7,1.460666811
0.7,1.048363469
20.5,1.852865806
0.4,0.606539164
0.7,1.036126984
1.1,0.795605027
1.9,1.174209524
1.1,1.446783561
1.1,1.121401166
5.8,7.584
1.3,1.123333333
0.9,1.211297619
0.4,0.778201881
1,0.971227675
1.9,2.133466667
3,1.195566999
349.9,282.108
3,2.98
0.5,0.566054185
0.7,0.784124198
8.3,9.395
12.2,10.43166667
1.1,1.260670591
0.8,1.060846032
3.6,3.522
0.7,0.714876971
1.5,1.155279895
1.1,1.051973737
1,1.246247619
1.7,1.643363059
1.3,1.7668
