Actual Train,Predicted Train
0.7,0.818264634
0.6,0.672090737
0.7,0.729695553
2,1.290151204
0.7,0.603193276
0.3,0.506759702
0.6,0.646831627
0.9,0.916341563
3,2.879687859
0.7,0.597787516
2.3,0.629553549
224.3,24.01364586
3.2,2.999992433
0.5,0.517462138
0.9,1.277052587
0.8,0.74573461
0.9,1.301326199
2.7,7.557204551
2.9,0.588944016
1.1,0.753194649
3,1.451769256
2.2,1.89933913
1.3,0.921082691
1.8,0.838098485
8.3,3.41909673
14.4,7.876996606
31.4,10.31238491
1.6,1.276781263
0.3,0.460125815
0.7,0.709847222
1,1.526701681
0.8,0.891202489
0.4,1.064568317
1.3,1.627543499
0.4,0.486206338
1.3,1.272460047
1.8,0.560267553
5.6,6.917637839
0.5,0.560267553
0.4,0.530922125
1.3,0.615434956
0.4,0.603179484
1,0.841938788
0.7,0.557069448
0.6,1.019144943
6.3,1.496549091
4,6.899042698
0.4,0.64159456
0.6,0.665421039
4.9,4.118496012
0.8,0.713119707
1,0.805010035
0.8,0.911081533
2.7,3.504392941
0.3,0.529161734
0.6,0.777415849
1.7,1.134586966
0.9,0.717310695
46.1,6.515792802
1,0.800403285
14.6,3.17457515
1.2,1.090894288
0.3,0.465850478
1.4,16.4759623
1,0.952503975
0.8,0.557069448
0.7,0.73268152
0.5,0.559646992
2.3,2.018441787
5.8,0.529161734
1.7,1.115503007
0.7,0.671609292
0.7,0.679265365
0.6,0.611316845
102.8,9.486234017
0.5,0.506759702
0.7,0.907712052
0.5,0.475998563
2.4,1.829966949
2.5,1.206326776
1.4,2.267756899
7.5,5.693339097
0.6,0.707083444
0.2,0.435647775
0.4,0.543319854
0.4,0.517462138
0.3,0.502657879
4,0.833181555
0.9,1.417652554
0.1,0.466832209
0.4,0.833181555
1.5,1.026311327
1.1,1.081724161
1.4,3.684932336
28.4,4.126304299
2.1,1.672343021
13.5,2.225115303
0.9,0.73268152
0.2,0.41893066
0.6,1.540002276
0.2,0.435647775
0.8,0.709375731
0.8,0.717310695
0.9,1.08669127
1.8,1.409740996
10.6,1.285853507
0.8,0.638625978
1.7,3.335523646
1.7,1.134586966
0.1,0.625569003
0.8,0.689401341
0.5,0.542884634
0.4,0.638625978
2,4.441260343
2,4.569096634
4.4,4.081123854
19.6,1.165929581
780.9,18.5231082
1.2,1.878469747
0.3,0.517462138
0.3,0.460601488
0.7,0.871792153
5.4,8.838049684
6.6,4.486508723
1,0.776077686
11.3,12.80676902
0.8,0.99270972
0.8,1.694891843
0.2,0.443373192
11.5,1.694122224
0.4,0.557069448
0.5,0.630077717
3.5,5.093663929
1.4,1.382682627
1.7,1.873331952
0.3,0.432216527
1.2,1.245697557
0.4,0.502657879
1,1.120861448
0.2,0.443373192
1,1.20675146
0.5,0.621584687
0.6,0.547791224
0.6,0.773922137
2.9,1.855340266
10.4,1.02027903
0.7,0.710501625
0.7,0.593655362
0.8,0.717310695
1,0.626127881
0.9,0.86272193
0.6,0.587134968
0.3,0.615434956
15.6,2.694256684
33.3,18.96567218
0.6,0.672090737
2.6,2.043667317
0.8,0.797635713
91.4,0.551029007
0.7,0.583955124
0.8,0.863033409
1.3,1.00022419
1.2,0.974225438
1.3,0.906951223
0.8,0.710501625
1.3,0.951976455
0.8,0.626127881
0.8,1.178123362
1.8,3.716682002
2.4,3.682831765
11.2,1.430911512
1.4,1.041676759
0.6,0.679265365
0.8,0.734490485
2.9,2.64962494
3.9,2.042054307
1,1.089691541
3.3,4.336978361
1.9,0.73268152
0.7,0.841938788
0.2,0.474778106
1.4,4.873944474
1.4,1.186013081
1,0.794034279
0.4,0.559646992
1.6,1.400193545
0.8,0.886355773
0.6,0.751318772
0.1,0.435647775
82,18.5231082
0.3,0.500121815
0.8,0.821855128
3.3,2.682191053
1.5,2.538723782
2.8,2.188970177
0.2,0.435647775
0.9,1.037160086
4.6,1.672931364
13.7,17.95021693
7.7,2.206458608
578.9,19.74987698
1.1,1.339157465
0.8,0.893166942
0.6,0.729695553
1.6,1.809381369
0.2,1.111196233
0.2,1.142093271
0.8,0.797635713
1,1.050675139
1.5,0.833181555
2.1,3.500531709
