SSL(t-1),q(t-1),SSL(t)
0.5,1.9,1.1
1.1,2.7,0.7
0.7,2.6,0.4
0.4,2.2,0.5
0.5,2,1.2
1.2,2.7,1.9
1.9,3.2,1
1,2.4,0.9
0.9,2.2,1.1
1.1,2.6,1
1,2.5,1.7
1.7,2.3,0.6
0.6,2,0.6
0.6,2,1.1
1.1,2,0.8
0.8,2,0.6
0.6,1.9,0.5
0.5,1.9,0.4
0.4,1.7,0.5
0.5,1.7,0.6
0.6,1.8,0.6
0.6,1.8,0.7
0.7,2,18.7
18.7,8.8,23.1
23.1,10.8,6
6,5.7,2.1
2.1,3.9,5.4
5.4,5.9,85.5
85.5,20.6,96.1
96.1,22.7,18.9
18.9,11,5.6
5.6,7.2,38.1
38.1,11.6,20
20,11.9,13.8
13.8,10.4,10.2
10.2,9.4,3.9
3.9,6.8,3.6
3.6,6,14.6
14.6,8,10.1
10.1,8.6,5.7
5.7,7.1,5.3
5.3,6.5,4
4,6.5,2.8
2.8,5.9,2
2,5.2,2
2,5.2,2
2,5.1,1.8
1.8,4.9,2.3
2.3,4.9,1.7
1.7,4.6,1.7
1.7,4.7,1.4
1.4,4.3,1.2
1.2,4.5,1.2
1.2,4.6,48
48,11,98.4
98.4,22.4,11.9
11.9,10.9,5
5,8.9,5.9
5.9,9.8,3.6
3.6,8.3,2.7
2.7,6.9,2.1
2.1,6.2,1.9
1.9,5.9,1.5
1.5,5.8,1.4
1.4,5.4,1.3
1.3,5.2,1.2
1.2,5.3,1.4
1.4,5.2,0.9
0.9,5.2,0.8
0.8,5.2,0.7
0.7,5.2,0.7
0.7,5.2,0.7
0.7,4.9,0.7
0.7,4.7,0.6
0.6,4.6,0.6
0.6,4.5,0.5
0.5,4.4,0.5
0.5,4.3,0.6
0.6,4.1,0.9
0.9,4,0.5
0.5,3.9,0.5
0.5,3.8,0.5
0.5,3.7,0.6
0.6,3.8,72.1
72.1,12.7,271.6
271.6,36.7,53.3
53.3,28.2,28.9
28.9,20.7,15.3
15.3,13.4,10.2
10.2,12.2,117.3
117.3,27.5,578.9
578.9,67.5,82
82,42.4,30.5
30.5,27.6,13.9
13.9,18.9,9.2
9.2,15.3,8.7
8.7,14.9,7
7,13.2,6.1
6.1,11.8,5.8
5.8,10.7,4.9
4.9,9.8,4
4,9.6,4.1
4.1,9.3,3.2
3.2,9.1,2.6
2.6,8.2,2.1
2.1,7.4,2.2
2.2,6.8,2
2,6.5,1.8
1.8,6.3,1.7
1.7,6,1.6
1.6,5.8,1.6
1.6,5.6,1.4
1.4,5.7,45.4
45.4,12.9,16.1
16.1,11.7,7.5
7.5,10,3.7
3.7,8,2.9
2.9,7.1,2.5
2.5,6.5,20.4
20.4,8.4,31.4
31.4,12.2,4.5
4.5,9.2,2
2,7.9,2.5
2.5,7.3,1.9
1.9,6.6,1.8
1.8,6.3,1.2
1.2,6.1,1.1
1.1,5.7,1.1
1.1,5.4,1.1
1.1,5,0.9
0.9,4.7,0.7
0.7,4.5,0.6
0.6,4.3,0.6
0.6,4.1,0.6
0.6,3.9,0.6
0.6,3.8,1
1,4,1
1,4,0.8
0.8,3.8,0.6
0.6,3.5,0.6
0.6,3.4,0.7
0.7,3.5,0.6
0.6,3.4,2.9
2.9,3.3,3.1
3.1,3.2,1.6
1.6,3.2,2.8
2.8,3.4,1.4
1.4,3.7,2.8
2.8,4,0.9
0.9,4,1.3
1.3,4.2,1.8
1.8,4.6,1.7
1.7,4.9,2.9
2.9,5.3,4.5
4.5,5.6,3.5
3.5,5,2.2
2.2,4.1,1.8
1.8,3.7,1.7
1.7,3.5,1.7
1.7,3.5,1.6
1.6,3.4,1.3
1.3,3.2,1.3
1.3,3.2,1.2
1.2,3.1,1.2
1.2,3,1.1
1.1,3,1
1,2.9,1
1,2.9,1.5
1.5,3.4,1.4
1.4,3.2,1
1,2.9,1.2
1.2,3.1,1.1
1.1,3,0.9
0.9,2.6,0.9
0.9,2.5,0.8
0.8,2.4,0.8
0.8,2.3,0.8
0.8,2.3,0.8
0.8,2.3,0.9
0.9,2.4,1.2
1.2,2.4,0.9
0.9,2.3,0.7
0.7,2.3,0.7
0.7,2.3,0.6
0.6,2,0.7
0.7,1.8,0.6
0.6,1.8,0.5
0.5,1.8,0.5
0.5,1.7,0.5
0.5,1.6,0.5
0.5,1.5,0.7
0.7,1.5,0.7
0.7,1.5,0.6
0.6,1.7,0.7
0.7,1.7,1.1
1.1,1.9,2.2
2.2,2.2,1
1,1.9,0.7
0.7,1.8,0.9
0.9,2,1.9
1.9,2.4,0.9
0.9,1.7,0.6
0.6,1.6,0.6
0.6,1.6,0.6
0.6,1.5,0.6
0.6,1.4,0.6
0.6,1.4,0.6
0.6,1.4,0.5
0.5,1.3,0.7
0.7,1.5,1.2
1.2,1.6,0.7
0.7,1.4,0.7
0.7,1.6,0.6
0.6,1.4,0.5
0.5,1.4,0.5
0.5,1.3,0.5
0.5,1.3,0.6
0.6,1.3,4
4,1.8,2.2
2.2,1.6,1
1,1.6,0.9
0.9,1.5,0.6
0.6,1.4,0.8
0.8,1.6,2.4
2.4,1.5,0.5
0.5,1.3,0.4
0.4,1.2,0.3
0.3,1.2,0.5
0.5,1.1,91.4
91.4,7.1,5.7
5.7,2.8,1.4
1.4,1.6,1.1
1.1,1.3,4
4,1.6,100.9
100.9,3.2,215.3
215.3,3.7,4.5
4.5,1.7,1.9
1.9,1.4,1.5
