Actual Train,Predicted Train
0.7,3.6336322
0.6,0.96958494
0.7,1.0552932
2,1.8116206
0.7,1.0654116
0.3,0.56082505
0.6,1.1643234
0.9,0.78784114
3,5.2034154
0.7,0.84356725
2.3,0.96958494
224.3,216.93011
3.2,3.4576066
0.5,0.8528075
0.9,1.4004405
0.8,12.35286
0.9,0.17369285
2.7,1.3642452
2.9,0.84356725
1.1,1.0276302
3,2.72143
2.2,1.7733333
1.3,4.3729453
1.8,0.7947971
8.3,9.568504
14.4,10.652076
31.4,24.059343
1.6,1.6907874
0.3,0.9859976
0.7,1.4063067
1,1.7663114
0.8,0.78784114
0.4,0.29971775
1.3,1.6524436
0.4,0.5906366
1.3,1.7686827
1.8,0.90710384
5.6,3.7997925
0.5,0.90710384
0.4,0.5943565
1.3,1.6417146
0.4,0.72830784
1,1.900708
0.7,0.7260872
0.6,1.7117488
6.3,5.530358
4,5.047899
0.4,0.8718054
0.6,1.0208441
4.9,7.141652
0.8,1.6258899
1,1.8100042
0.8,1.3782564
2.7,5.7117596
0.3,1.1577338
0.6,0.8905225
1.7,2.0905614
0.9,1.5868707
46.1,44.282654
1,0.76010793
14.6,6.8550315
1.2,1.679765
0.3,0.3161728
1.4,1.8072267
1,1.5678073
0.8,0.7260872
0.7,2.032736
0.5,0.72830784
2.3,5.962619
5.8,1.1577338
1.7,2.0905614
0.7,1.0179667
0.7,1.3037763
0.6,0.9834344
102.8,90.80527
0.5,0.56082505
0.7,1.900708
0.5,0.3161728
2.4,2.2526379
2.5,1.7055695
1.4,0.9131167
7.5,6.6935863
0.6,1.3090744
0.2,0.18924585
0.4,0.7794889
0.4,0.8528075
0.3,0.8483959
4,3.805703
0.9,1.8722943
0.1,0.1330568
0.4,3.805703
1.5,1.5954405
1.1,1.2248361
1.4,4.2082877
28.4,17.585789
2.1,2.702793
13.5,2.7665784
0.9,2.032736
0.2,0.30002096
0.6,0.8266132
0.2,0.18924585
0.8,1.0208441
0.8,1.5868707
0.9,1.971136
1.8,2.6717732
10.6,2.4432034
0.8,0.96833247
1.7,4.9292264
1.7,2.0905614
0.1,0.24779122
0.8,1.1852038
0.5,1.7352405
0.4,0.96833247
2,10.237505
2,3.8994997
4.4,3.061823
19.6,1.9306862
780.9,779.4439
1.2,3.002342
0.3,0.8528075
0.3,0.9859976
0.7,1.0611559
5.4,7.7381616
6.6,4.6388435
1,1.2364773
11.3,12.358751
0.8,0.78784114
0.8,20.47027
0.2,0.24581064
11.5,3.4046216
0.4,0.7260872
0.5,1.5179002
3.5,14.110015
1.4,2.2955074
1.7,1.6089637
0.3,0.3295329
1.2,1.2751884
0.4,0.8483959
1,1.3942541
0.2,0.24581064
1,1.2872012
0.5,0.72830784
0.6,0.7260872
0.6,1.4277389
2.9,2.2736835
10.4,1.8082889
0.7,1.3150508
0.7,1.5523419
0.8,1.5868707
1,1.0608407
0.9,1.900708
0.6,1.2337044
0.3,1.6417146
15.6,4.2457633
33.3,38.123806
0.6,0.96958494
2.6,7.9457283
0.8,3.6336322
91.4,4.31792
0.7,1.2337044
0.8,3.6336322
1.3,1.7175852
1.2,1.5631244
1.3,1.726491
