Actual Train,Predicted Train
1.6,1.568495373
0.8,0.900474487
1.7,1.679371616
3.4,3.225683626
1.4,1.250275634
0.6,0.675976287
1.6,1.487062406
2.4,2.306418811
5.2,5.420266519
0.8,0.677251078
2,2.020978428
13.4,17.06517177
5.6,5.393352529
1.3,1.255922005
0.8,0.964669343
1.2,1.226283683
4,4.27740122
3.5,2.58056325
1.7,1.647484649
2,2.480823712
1.7,1.755571365
2.7,2.772365989
1.3,1.310985252
1.2,1.231654383
5.5,6.015759509
3.8,3.956909932
12.2,12.90348165
2.3,2.29019556
0.8,0.776899393
0.7,0.691171916
1.9,1.637478266
2.1,2.161139835
4.5,4.042060604
2.6,2.811369798
1.2,1.317984497
1.9,1.932363717
2,1.902685992
7.2,7.821369095
1.1,1.187945097
0.6,0.53166113
1.8,1.723942636
1.5,1.438128094
1.8,1.561494148
0.6,0.732942644
1.4,1.287742841
1.9,2.224689798
9.6,9.261172565
1.6,1.622557217
1.6,1.527540992
4.6,4.511814676
0.7,0.690029202
1.4,1.41216804
1.9,2.020398936
4,3.988762632
1.3,1.257777808
2.2,2.030498125
1.5,1.543373276
1.6,1.443105925
7.3,8.760531821
0.9,0.966303264
8,7.791347405
1.9,2.022306791
0.7,0.702302997
1.2,0.921967828
1.8,1.796940333
0.8,0.821935861
0.9,1.071891945
1.7,1.573600945
3.8,3.744167243
2.9,3.043638305
1.4,1.420286927
0.7,0.654490951
1.1,0.99826327
0.6,0.535263316
11.3,10.1505546
0.9,0.750386303
1.8,1.657884268
0.7,0.644528966
2.2,2.126331599
2.5,2.477205546
5.7,5.450952793
8.6,8.170904411
1.7,1.688840836
0.6,0.598876469
1.5,1.374766568
1.3,1.185832284
0.9,0.970633676
1.6,2.038090375
2.1,1.870634034
1.6,1.753803427
0.9,1.001442834
1,1.081940634
2.5,2.531861197
1,1.378598447
5.5,5.983199491
3,2.984701501
5.9,5.948850132
1.2,1.167710592
0.6,0.751265455
4.6,4.611201048
0.6,0.598876469
1.6,1.610649424
1.5,1.381077537
1.5,1.389497898
2,1.97924006
5.2,4.992671414
0.7,0.67992585
1.7,2.051985634
1.5,1.543373276
2.2,2.199996799
1.2,1.174864308
0.8,0.79254406
0.4,0.524056766
3.3,3.20527057
2.5,2.345122479
5.6,5.656447927
5.6,6.037355785
12.6,17.10065862
1.3,1.597798478
1.2,1.1682868
0.9,1.005652422
2.3,2.251841471
6.8,6.667252165
6.1,6.744347847
1.2,1.249591575
9.9,9.730749006
2.5,2.543853202
4.1,4.522861826
1.2,1.258883585
6.7,5.959967233
0.5,0.575608828
1.3,1.356280058
4.5,4.506273802
2.9,3.010453231
4,3.922049902
1.2,1.368664552
2.8,2.875903801
1.1,0.98817916
2.4,2.322634912
1.3,1.258883585
3.1,3.113633907
1.6,1.537340008
0.8,0.743427479
1.6,1.594920125
2.9,2.759221586
3.9,3.483792274
0.8,0.806826183
1.2,1.125742868
1.5,1.381077537
1.1,1.032651828
1.7,1.640850679
1,0.980084824
1.3,1.185813332
6.7,6.588653132
6.7,7.368930059
1,0.900474487
0.9,1.131269065
1.4,1.487167871
7.1,5.928056906
1.1,0.961078493
1.6,1.796884136
1.4,1.484864791
1.7,1.694823602
1.3,1.203272404
0.8,0.864008389
1.6,1.716618558
0.9,0.83024419
1.4,1.450144903
2.3,2.155130454
1.5,1.472179566
2.8,3.7166695
1.7,1.66238518
0.9,0.974152747
1.4,1.495079185
3.4,3.549205385
4,3.935491799
1.4,1.325617659
4.1,3.993919884
1.5,1.690026722
1.2,1.348168003
1.1,1.169392577
1.8,1.564349133
2.2,2.312099443
0.8,0.782841946
1.5,1.488768216
2.9,2.759048682
1.4,1.354825535
1.8,1.67305572
0.6,0.598876469
42.4,28.64441713
1.4,1.397478931
2.1,2.156547428
3.6,3.770610166
5.8,5.474787939
3.9,3.762604648
0.6,0.598876469
2.5,2.538190782
4.6,4.65551907
3.6,3.2743714
6.2,5.910470097
67.5,37.28511111
1.6,1.497650251
1.2,1.154093947
1.5,1.652378661
2.5,2.452609085
3.7,3.771864837
4,3.919436048
1.4,1.487167871
2.2,2.236035464
1.6,1.395708602
6.2,6.060681742
4.5,4.173852584
2.5,2.14485056
2.3,2.498036472
1.5,1.569374303
0.9,1.055003537
4.5,4.318458782
7.4,7.283643298
1.5,1.606958799
6.3,6.333159241
3.5,3.532738901
11,10.37866523
0.6,0.598876469
2.4,2.256834682
1.6,1.546743003
14.2,15.02268813
1.1,1.182293857
3.9,3.93302816
5.2,5.009091343
1.3,1.265544362
1.9,1.785160309
1.2,1.169392577
1,1.035632098
3.9,3.89017405
1.5,1.51014136
2,2.001943618
1.2,1.292796553
3.1,3.113633907
2.8,2.52975025
2.3,2.272068266
1.9,1.980772324
1.9,1.824440027
1.5,1.527540992
1.8,1.866509708
2,2.166207682
0.9,0.984787783
1.8,1.850315733
2.6,2.463609656
1.5,1.471265914
1.9,1.944179821
2.4,2.574911057
1,1.063412331
1.4,1.345009907
0.7,0.676669058
1.7,1.892886516
1.3,1.292796553
