Actual Train,Predicted Train
1.6,1.604878233
0.8,0.970630207
1.7,1.634815105
3.4,2.921641376
1.4,1.186130964
0.6,0.739053783
1.6,1.445894284
2.4,2.233238657
5.2,5.253840645
0.8,0.689121499
2,1.221986216
13.4,11.58086453
5.6,5.341659898
1.3,1.185946891
0.8,1.097020515
1.2,1.248022747
4,3.96322452
3.5,1.980303623
1.7,1.062861289
2,2.002287048
1.7,1.548590607
2.7,2.837718725
1.3,1.26427039
1.2,0.99918783
5.5,5.263529985
3.8,4.296475577
12.2,11.07215453
2.3,2.219362628
0.8,0.831409598
0.7,0.806151157
1.9,1.933242956
2.1,2.119293304
4.5,3.569305181
2.6,2.987035785
1.2,1.27606148
1.9,1.961064484
2,1.357767305
7.2,7.682669006
1.1,1.171848021
0.6,0.601888894
1.8,1.362840846
1.5,1.431191716
1.8,1.54048431
0.6,0.701808716
1.4,1.624971388
1.9,2.257859044
9.6,8.537407578
1.6,1.619768977
1.6,1.539825054
4.6,4.703232212
0.7,0.740642051
1.4,1.354037269
1.9,2.005897216
4,4.3327374
1.3,1.247405681
2.2,2.021605065
1.5,1.450621999
1.6,1.368048169
7.3,10.41065982
0.9,0.9857282
8,7.715253254
1.9,2.006810698
0.7,0.752071537
1.2,0.473451539
1.8,1.812224291
0.8,0.714849599
0.9,1.144280371
1.7,1.460606464
3.8,3.813824054
2.9,2.063524311
1.4,1.358230233
0.7,0.740173022
1.1,1.070337033
0.6,0.602483141
11.3,11.29119316
0.9,0.765347483
1.8,1.781099508
0.7,0.7013358
2.2,2.164464091
2.5,2.282698529
5.7,5.138664039
8.6,7.602600899
1.7,1.73058337
0.6,0.67536716
1.5,1.35312887
1.3,1.171814475
0.9,0.983701853
1.6,1.691349888
2.1,2.267733345
1.6,1.650043193
0.9,1.162593198
1,1.074971989
2.5,2.527143352
1,1.362839227
5.5,6.971641443
3,2.902455873
5.9,5.271405275
1.2,1.172694533
0.6,0.831401814
4.6,4.406128149
0.6,0.67536716
1.6,1.554815598
1.5,1.353457135
1.5,1.546431399
2,1.994877747
5.2,4.190349934
0.7,0.689523728
1.7,2.837702966
1.5,1.450621999
2.2,2.104389416
1.2,1.172376361
0.8,0.831650512
0.4,0.637551849
3.3,3.75182902
2.5,2.929027979
5.6,5.409278842
5.6,5.311166657
12.6,12.02108847
1.3,2.159972485
1.2,1.157708089
0.9,0.997405126
2.3,2.217146208
6.8,7.469159988
6.1,7.010144206
1.2,1.173083475
9.9,10.02402428
2.5,2.510441082
4.1,4.269513635
1.2,1.261901558
6.7,4.889687446
0.5,0.6628531
1.3,1.338630972
4.5,4.928039535
2.9,2.994025633
4,3.861913873
1.2,1.186047905
2.8,2.801815726
1.1,0.997425839
2.4,2.283015218
1.3,1.261901558
3.1,2.992999869
1.6,1.539829597
0.8,0.76556322
1.6,1.604747065
2.9,2.765726371
3.9,2.948237838
0.8,0.887402003
1.2,1.097847966
1.5,1.353457135
1.1,0.872566445
1.7,1.620193375
1,0.997686916
1.3,1.218839264
6.7,6.645312805
6.7,7.62098756
1,0.970630207
0.9,0.85743361
1.4,1.525272744
7.1,7.078575763
1.1,0.927234036
1.6,1.811815567
1.4,1.43364978
1.7,1.731671957
1.3,1.174673333
0.8,0.901023421
1.6,1.65121357
0.9,0.845622898
1.4,1.705844347
2.3,2.819651587
1.5,1.331967999
2.8,3.410929866
1.7,1.636954238
0.9,1.056353838
1.4,1.446141549
3.4,3.58072236
4,3.800050365
1.4,1.360739441
4.1,4.786138717
1.5,1.31620432
1.2,1.49565662
1.1,1.157769512
1.8,1.868971057
2.2,2.218437261
0.8,0.820666178
1.5,1.44592185
2.9,2.706698592
1.4,1.495928113
1.8,1.715350707
0.6,0.662487028
42.4,12.02108847
1.4,1.35322102
2.1,2.037330941
3.6,3.832886134
5.8,5.350436571
3.9,3.83710336
0.6,0.67536716
2.5,2.510477589
4.6,3.970988773
3.6,2.792456139
6.2,5.349366861
67.5,12.02111539
1.6,1.802968226
1.2,1.296431745
1.5,1.619737234
2.5,2.560317399
3.7,3.820596027
4,3.908677569
1.4,1.525272744
2.2,2.201380281
1.6,1.321238457
6.2,6.150190999
4.5,4.138237556
