SSL(t-1),SSL(t),q(t-1),q(t)
0.5,1.1,1.9,2.7
1.1,0.7,2.7,2.6
0.7,0.4,2.6,2.2
0.4,0.5,2.2,2
0.5,1.2,2,2.7
1.2,1.9,2.7,3.2
1.9,1,3.2,2.4
1,0.9,2.4,2.2
0.9,1.1,2.2,2.6
1.1,1,2.6,2.5
1,1.7,2.5,2.3
1.7,0.6,2.3,2
0.6,0.6,2,2
0.6,1.1,2,2
1.1,0.8,2,2
0.8,0.6,2,1.9
0.6,0.5,1.9,1.9
0.5,0.4,1.9,1.7
0.4,0.5,1.7,1.7
0.5,0.6,1.7,1.8
0.6,0.6,1.8,1.8
0.6,0.7,1.8,2
0.7,18.7,2,8.8
18.7,23.1,8.8,10.8
23.1,6,10.8,5.7
6,2.1,5.7,3.9
2.1,5.4,3.9,5.9
5.4,85.5,5.9,20.6
85.5,96.1,20.6,22.7
96.1,18.9,22.7,11
18.9,5.6,11,7.2
5.6,38.1,7.2,11.6
38.1,20,11.6,11.9
20,13.8,11.9,10.4
13.8,10.2,10.4,9.4
10.2,3.9,9.4,6.8
3.9,3.6,6.8,6
3.6,14.6,6,8
14.6,10.1,8,8.6
10.1,5.7,8.6,7.1
5.7,5.3,7.1,6.5
5.3,4,6.5,6.5
4,2.8,6.5,5.9
2.8,2,5.9,5.2
2,2,5.2,5.2
2,2,5.2,5.1
2,1.8,5.1,4.9
1.8,2.3,4.9,4.9
2.3,1.7,4.9,4.6
1.7,1.7,4.6,4.7
1.7,1.4,4.7,4.3
1.4,1.2,4.3,4.5
1.2,1.2,4.5,4.6
1.2,48,4.6,11
48,98.4,11,22.4
98.4,11.9,22.4,10.9
11.9,5,10.9,8.9
5,5.9,8.9,9.8
5.9,3.6,9.8,8.3
3.6,2.7,8.3,6.9
2.7,2.1,6.9,6.2
2.1,1.9,6.2,5.9
1.9,1.5,5.9,5.8
1.5,1.4,5.8,5.4
1.4,1.3,5.4,5.2
1.3,1.2,5.2,5.3
1.2,1.4,5.3,5.2
1.4,0.9,5.2,5.2
0.9,0.8,5.2,5.2
0.8,0.7,5.2,5.2
0.7,0.7,5.2,5.2
0.7,0.7,5.2,4.9
0.7,0.7,4.9,4.7
0.7,0.6,4.7,4.6
0.6,0.6,4.6,4.5
0.6,0.5,4.5,4.4
0.5,0.5,4.4,4.3
0.5,0.6,4.3,4.1
0.6,0.9,4.1,4
0.9,0.5,4,3.9
0.5,0.5,3.9,3.8
0.5,0.5,3.8,3.7
0.5,0.6,3.7,3.8
0.6,72.1,3.8,12.7
72.1,271.6,12.7,36.7
271.6,53.3,36.7,28.2
53.3,28.9,28.2,20.7
28.9,15.3,20.7,13.4
15.3,10.2,13.4,12.2
10.2,117.3,12.2,27.5
117.3,578.9,27.5,67.5
578.9,82,67.5,42.4
82,30.5,42.4,27.6
30.5,13.9,27.6,18.9
13.9,9.2,18.9,15.3
9.2,8.7,15.3,14.9
8.7,7,14.9,13.2
7,6.1,13.2,11.8
6.1,5.8,11.8,10.7
5.8,4.9,10.7,9.8
4.9,4,9.8,9.6
4,4.1,9.6,9.3
4.1,3.2,9.3,9.1
3.2,2.6,9.1,8.2
2.6,2.1,8.2,7.4
2.1,2.2,7.4,6.8
2.2,2,6.8,6.5
2,1.8,6.5,6.3
1.8,1.7,6.3,6
1.7,1.6,6,5.8
1.6,1.6,5.8,5.6
1.6,1.4,5.6,5.7
1.4,45.4,5.7,12.9
45.4,16.1,12.9,11.7
16.1,7.5,11.7,10
7.5,3.7,10,8
3.7,2.9,8,7.1
2.9,2.5,7.1,6.5
2.5,20.4,6.5,8.4
20.4,31.4,8.4,12.2
31.4,4.5,12.2,9.2
4.5,2,9.2,7.9
