Actual Train,Predicted Train
1,0.933142857
0.6,0.587261905
0.7,0.698571429
0.3,0.310969388
0.7,0.717142857
0.3,0.317928571
0.7,0.703571429
1.2,1.07
3,3.084285714
1.2,1.196666667
1.2,1.33
14.1,14.12142857
3,3.102857143
0.5,0.526428571
0.7,0.677142857
0.8,0.822857143
0.5,0.617142857
1.2,1.788571429
8.7,10.69
0.8,0.93
2,2.167142857
2,1.932857143
1.3,1.305714286
1.8,1.65
8.3,7.762857143
2.7,6.684285714
4.5,8.828571429
1.9,1.855714286
0.3,0.328092404
0.6,0.661333333
0.7,0.8
0.8,0.799112245
1.4,1.581428571
1.1,1.225714286
18.3,20.45142857
1.5,1.335714286
1,1.097142857
4,4.212857143
0.5,0.477142857
0.4,0.411571429
1.7,1.554285714
0.4,0.4
0.8,0.854285714
4.2,3.98
0.6,0.548571429
16.3,26.38857143
4.1,4.074285714
0.4,0.398571429
0.5,0.563989796
4.5,4.321428571
1,0.866714286
1,0.977142857
0.7,0.715714286
1.7,1.791428571
0.3,0.516938776
0.6,0.62
1.7,1.678571429
0.9,0.93
8.1,8.032857143
1.1,1.011428571
10.1,21.92142857
1.2,1.162857143
0.3,0.327619048
0.6,0.701428571
4.5,4.432857143
0.8,0.75
0.8,0.772142857
0.4,0.435261905
2.1,2.128571429
5.8,5.148571429
2.4,2.397142857
0.6,0.619642857
4.3,4.012857143
0.6,0.593619048
0.7,0.701904762
0.8,0.822857143
0.9,0.848571429
0.5,0.510785714
3.8,4.741428571
46.2,48.31142857
45.4,55.69714286
7.5,7.33
0.6,0.564952381
0.2,0.164619048
0.4,0.481428571
0.5,0.615071429
0.4,0.367142857
100.9,85.59428571
0.2,0.197142857
0.1,0.11
12,20.79571429
14.3,27.76571429
1,1.005714286
1.6,1.36
5,6.694285714
0.5,0.494744898
5.4,5.174285714
1.9,1.648571429
0.1,0.164619048
0.6,0.598571429
0.2,0.215714286
0.8,0.748571429
0.8,0.85
0.8,0.843809524
1.7,1.718571429
12.3,12.24714286
1.9,2.434285714
1.3,1.244285714
2.4,2.301428571
0.1,0.125714286
1,1.002857143
0.5,0.517834035
1.3,1.235714286
3.7,3.542857143
2.2,2.015714286
2.6,2.844285714
19.6,17.57714286
0.4,0.394285714
1,0.93
0.5,0.424285714
0.2,0.228428571
0.6,0.614285714
0.3,0.3
3.9,3.985714286
0.9,0.907142857
11.3,11.76285714
0.8,0.801428571
0.8,1.104285714
0.2,0.208571429
0.3,0.307142857
0.4,0.42
0.4,0.417952381
0.3,0.331428571
1.2,1.232857143
1.7,1.821428571
0.2,0.218571429
1.1,1.116904762
32.7,26.22571429
0.4,0.499285714
0.2,0.2
1,0.988571429
0.8,0.802857143
0.6,0.616357143
0.6,0.602857143
2.1,2.131428571
