Actual Train ,Predicted Train
1,0.9584617
0.6,0.52225584
0.7,0.8343529
0.3,0.3018934
0.7,0.77130693
0.3,0.36934698
0.7,0.6825172
1.2,0.9565759
3,2.9367793
1.2,1.6567477
1.2,1.5249329
14.1,14.666943
3,3.3424559
0.5,0.6923759
0.7,0.7504739
0.8,0.7143344
0.5,0.87205
1.2,1.1839453
8.7,8.628364
0.8,0.91472405
2,2.034873
2,2.0611053
1.3,1.3045425
1.8,1.5587986
8.3,6.683729
2.7,5.2030525
4.5,6.109175
1.9,1.6829593
0.3,0.33997926
0.6,0.6920416
0.7,0.7304644
0.8,0.79997563
1.4,1.9193283
1.1,1.135981
18.3,18.65563
1.5,1.0127916
1,1.1471606
4,4.4044294
0.5,0.5185455
0.4,0.41052422
1.7,1.1147566
0.4,0.35677227
0.8,0.78028166
4.2,4.3351035
0.6,0.46238956
16.3,16.637186
4.1,4.158791
0.4,0.39009693
0.5,0.6419723
4.5,3.810891
1,0.7582371
1,0.7989147
0.7,0.7188928
1.7,1.8857605
0.3,0.3752947
0.6,0.47197813
1.7,1.581191
0.9,1.0117109
8.1,7.6803303
1.1,0.8456077
10.1,10.447586
1.2,0.8504043
0.3,0.31745014
0.6,0.60222745
4.5,4.529898
0.8,0.68337417
0.8,0.78696334
0.4,0.4355736
2.1,1.8993101
5.8,5.152246
2.4,2.5410368
0.6,0.66296273
4.3,4.6809216
0.6,0.5331245
0.7,0.7324034
0.8,0.70321476
0.9,0.80783796
0.5,0.38458788
3.8,4.7898817
46.2,45.821182
45.4,45.2002
7.5,8.067782
0.6,0.52367806
0.2,0.19945419
0.4,0.4524178
0.5,0.5256841
0.4,0.2951589
100.9,99.31339
0.2,0.17458887
0.1,0.20515545
12,12.248885
14.3,14.731258
1,1.0426626
1.6,1.3804054
5,4.734439
0.5,0.52025753
5.4,5.5603957
1.9,1.2854136
0.1,0.19945419
0.6,0.58690065
0.2,0.19945419
0.8,0.77181053
0.8,0.83790797
0.8,0.9023547
1.7,1.5498667
12.3,14.4713955
1.9,1.7773684
1.3,1.145696
2.4,2.214017
0.1,0.31586328
1,0.8831441
0.5,0.55160844
1.3,1.1507897
3.7,3.3291492
2.2,2.0162332
2.6,2.8174925
19.6,20.053202
0.4,0.37138876
1,0.93124247
0.5,0.3156942
0.2,0.2951589
0.6,0.49507454
0.3,0.3018934
3.9,3.6696932
0.9,0.89705104
11.3,11.003554
0.8,0.7681022
0.8,1.4661443
0.2,0.25105694
0.3,0.3156942
0.4,0.4711724
0.4,0.5480212
0.3,0.3518538
1.2,1.3030456
1.7,2.552516
0.2,0.3156942
1.1,1.1119674
32.7,31.106234
0.4,0.6185538
0.2,0.24463657
1,1.0071051
0.8,1.1204455
0.6,0.6136578
0.6,0.6419723
2.1,2.1332357
1.9,1.2308397
2.4,2.420263
0.8,0.70466423
0.8,0.7030618
1.5,1.7559102
0.9,0.8683492
0.6,0.49534974
0.2,0.3916712
32.4,34.621765
33.3,33.457523
23.8,24.812288
2.7,2.3961835
0.8,0.7414
5.7,5.84733
2.2,1.9300408
0.8,0.6553484
1.2,1.0275435
1.7,2.4538276
1.3,1.3045425
0.8,0.708753
1.3,1.1079562
0.8,0.7035485
2,1.9880491
1.8,2.1196759
1.8,2.5557091
20.8,21.345892
1.4,1.5120318
32.1,32.428146
0.9,1.1622653
2.2,2.308866
2.1,2.4317346
1,1.2266154
6.3,6.239446
2.2,1.5725193
0.3,0.6142406
2.6,2.1178243
0.6,1.0138344
659.4,658.26135
0.9,0.8456077
2.3,2.8462403
1.6,2.1164134
0.7,0.6620699
0.6,0.6170026
0.2,0.19945419
30.5,30.487404
0.3,0.30463755
0.4,0.42527673
3,3.3120239
1.4,2.1187754
0.9,0.86765134
0.7,0.77991664
0.8,0.9374936
5.4,3.7506335
44.1,41.93603
0.4,0.3792021
82,82.189125
1.9,2.5141473
0.8,0.7891595
0.6,0.5271732
1.6,2.3221924
0.2,0.204359
